2024-10-15 11:20:25,836 - qm - INFO     - Starting session: 0ee5af74-d71f-4608-abd8-53aceab64441
2024-10-15 11:20:29,085 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-10-15 11:20:30,236 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-10-15 11:20:31,635 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-10-15 11:20:32,370 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-10-15 11:20:33,102 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-10-15 11:20:33,102 - qm - INFO     - Performing health check
2024-10-15 11:20:33,126 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 11:20:33,126 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 11:20:33,126 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 11:20:33,126 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 11:20:33,126 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 11:20:33,126 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 11:20:33,126 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 11:20:33,127 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 11:20:33,127 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-15 11:20:33,127 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-10-15 11:20:35,495 - qm - INFO     - Sending program to QOP for compilation
2024-10-15 11:20:35,619 - qm - INFO     - Executing program
